term_id,term_name,vocabulary_id,category_slug
1,About,slides_category,
2,Home,slides_category,
3,Media Root,media_folders,
4,Public,posts,
5,Confidential,posts,
6,Media Root,media_folders,
7,Restricted,posts,
18,Collaborator Summary,publication_category,summaries
19,Project Publication,publication_category,publications
20,Project Coordination and Institutional Representatives,participant_category,
21,SPRUCE Scientific Advisory Panel Members,participant_category,
22,ORNL,participant_category,
23,USDA Forest Service,participant_category,
24,Arizona State University,organization,
25,Boise State University,organization,
26,Boston University,organization,
27,Chapman University,organization,
28,DePaul University,organization,
29,Florida State University,organization,
30,Georgia Institute of Technology,organization,
31,Harvard University,organization,
32,Iowa State University,organization,
33,Lawrence Berkeley National Laboratory,organization,
34,Lawrence Livermore National Laboratory,organization,
35,"Linnaeus University, Sweden",organization,
36,McGill University,organization,
37,Michigan Technological University,organization,
38,Northern Arizona University,organization,
39,Oak Ridge National Laboratory,organization,
40,Oregon State University,organization,
41,Rutgers University,organization,
42,San Diego State University,organization,
43,Smithsonian Environmental Research Center,organization,
44,"University of Guelph, Canada",organization,
45,University of Minnesota,organization,
46,University of New Hampshire,organization,
47,University of Oregon,organization,
48,University of Western Ontario,organization,
49,University of Zurich,organization,
50,US EPA Duluth,organization,
51,USDA Forest Service,organization,
52,USGS,organization,